name,country,party,national_party,profile_url,mep_id,photo_url
Christine Singer,Germany,Renew Europe Group,,https://www.europarl.europa.eu/meps/en/256946,256946.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718294709154%2020240613%20SINGER%20Christine%20DE%20006.jpg
Christophe Bay,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/261797,261797.0,
Christophe Clergeau,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialist Party,https://www.europarl.europa.eu/meps/en/245018,245018.0,http://commons.wikimedia.org/wiki/Special:FilePath/Discours%20Inaugural%20-%20Utopiales%202015%20-%20Christophe%20Clergeau.jpg
Christophe Gomart,France,Group of the European People's Party (Christian Democrats),,https://www.europarl.europa.eu/meps/en/256919,256919.0,http://commons.wikimedia.org/wiki/Special:FilePath/Christophe%20Gomart%20par%20Claude%20Truong-Ngoc%20septembre%202015.jpg
Christophe Grudler,France,Renew Europe Group,Democratic Movement,https://www.europarl.europa.eu/meps/en/197557,197557.0,http://commons.wikimedia.org/wiki/Special:FilePath/2018-01-10%2019-55-07%20voeux-chr-grudler-belfort.jpg
Ciaran Mullooly,Ireland,Renew Europe Group,,https://www.europarl.europa.eu/meps/en/257298,257298.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718705059227%2020240617%20MULLOOLY%20Ciaran%20IE%20009.jpg
Claire Fita,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/256906,256906.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719411457111%2020240626%20FITA%20Claire%20FR%20006.jpg
Claudiu Târziu,Group of the European Conservatives and Reformists,,Alliance for the Union of Romanians,https://www.europarl.europa.eu/meps/en/257114/CLAUDIU-RICHARD_TARZIU/home,257114.0,http://commons.wikimedia.org/wiki/Special:FilePath/Claudiu%20T%C3%A2rziu%20-%202025%20%28cropped%29.jpg
Cristian Terheș,Romania,,Romanian National Conservative Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Cristian%20Terhe%C8%99%202024.jpg
Cristina Guarda,Italy,Group of the Greens/European Free Alliance,,https://www.europarl.europa.eu/meps/en/257130,257130.0,http://commons.wikimedia.org/wiki/Special:FilePath/Cristina%20Guarda%20MEP%20%282024%29.jpg
Cristina Maestre,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spanish Socialist Workers' Party,https://www.europarl.europa.eu/meps/en/197719,197719.0,http://commons.wikimedia.org/wiki/Special:FilePath/%28Cristina%20Maestre%29%20Pleno%20extraordinario%20y%20minuto%20de%20silencio%20convocados%20por%20el%20Ayuntamiento%20de%20Daimiel%20%2832068778623%29%20%28cropped%29.jpg
Csaba Dömötör,Hungary,Patriots for Europe Group,Fidesz,https://www.europarl.europa.eu/meps/en/260724,260724.0,http://commons.wikimedia.org/wiki/Special:FilePath/EPP%20Congress%20Marseille%206064%20%286472671211%29.jpg
Csaba Molnár,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Hungarian Socialist Party,https://www.europarl.europa.eu/meps/en/124722,124722.0,http://commons.wikimedia.org/wiki/Special:FilePath/Moln%C3%A1r%20Csaba%202013-03.jpg
Cynthia Ní Mhurchú,Ireland,Renew Europe Group,,https://www.europarl.europa.eu/meps/en/257301,257301.0,http://commons.wikimedia.org/wiki/Special:FilePath/Cynthia%20N%C3%AD%20Mhurch%C3%BA%2C%202024.jpg
Céline Imart,France,Group of the European People's Party (Christian Democrats),The Republicans,https://www.europarl.europa.eu/meps/en/256918,256918.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718282582550%2020240611%20IMART%20Celine%20FR%20003.jpg
César Luena López,Spain,,Spanish Socialist Workers' Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718718621837%2020240611%20LUENA%20Cesar%20ES%20001.jpg
Dainius Žalimas,Lithuania,Renew Europe Group,Homeland Union – Lithuanian Christian Democrats,https://www.europarl.europa.eu/meps/en/256807,256807.0,http://commons.wikimedia.org/wiki/Special:FilePath/Dainius%20%C5%BDalimas%201721733010067%2020240723%20EP-171129A%20DLL%20253%20%28cropped%29.jpg
Damian Boeselager,Germany,Group of the Greens/European Free Alliance,Volt Europa,https://www.europarl.europa.eu/meps/en/197439,197439.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721748236430%2020240723%20EP-171117A%20AH1%20157.jpg
Damien Carême,France,,The Ecologists – Europe Écologie Les Verts,https://www.europarl.europa.eu/meps/en/197574,197574.0,http://commons.wikimedia.org/wiki/Special:FilePath/Damien%20Car%C3%AAme%20%2848792828587%29%20%28cropped%29.jpg
Dan Barna,Romania,Renew Europe Group,Save Romania Union,https://www.europarl.europa.eu/meps/en/257110,257110.0,http://commons.wikimedia.org/wiki/Special:FilePath/Gabor%20Hajdu%20%28Romania%29%20and%20Dan%20Barna%2C%20Head%20of%20Delegation%20of%20Romania%20to%20the%20OSCE%20PA%2C%20Standing%20Meeting%2C%20Autumn%20Meeting%20in%20Yerevan%2C%2018%20November%202023%20%28cropped%29.jpg
Dan Motreanu,Romania,,National Liberal Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718281651079%2020240612%20MOTREANU%20Dan%20Stefan%20RO%20009.jpg
Dan Nica,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party,https://www.europarl.europa.eu/meps/en/124784,124784.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718637367570%2020190605%20NICA%20Dan%20RO%205.jpg
Daniel Attard,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/256934,256934.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718797526640%2020240618%20ATTARD%20Daniel%20MT%20003.jpg
Daniel Buda,Romania,Group of the European People's Party (Christian Democrats),National Liberal Party,https://www.europarl.europa.eu/meps/en/125012,125012.0,http://commons.wikimedia.org/wiki/Special:FilePath/EPP%20Congress%20Madrid%20-%2021%20October%20%2821745700273%29%20%28cropped%29.jpg
Daniel Caspary,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/28219,28219.0,http://commons.wikimedia.org/wiki/Special:FilePath/Caspary.jpg
Daniel Freund,Germany,Group of the Greens/European Free Alliance,Alliance '90/The Greens,https://www.europarl.europa.eu/meps/en/106936,106936.0,http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Freund.jpg
Daniel Obajtek,Poland,European Conservatives and Reformists Group,Law and Justice,https://www.europarl.europa.eu/meps/en/257058,257058.0,http://commons.wikimedia.org/wiki/Special:FilePath/D.obajtek%20%28cropped%29.jpg
Daniele Polato,Italy,European Conservatives and Reformists Group,,https://www.europarl.europa.eu/meps/en/257145,257145.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718797849618%2020240619%20POLATO%20Daniele%20IT%20003.jpg
Danilo Della Valle,Italy,,,https://www.europarl.europa.eu/meps/en/257155,257155.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810420172%2020240619%20DELLA%20VALLE%20Danilo%20IT%20001.jpg
Danuše Nerudová,Czech Republic,Group of the European People's Party (Christian Democrats),Mayors and Independents,https://www.europarl.europa.eu/meps/en/256847,256847.0,http://commons.wikimedia.org/wiki/Special:FilePath/Danu%C5%A1e%20Nerudov%C3%A1%20%282023%29%20VI.jpg
Dario Nardella,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/257111,257111.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Dario%20Nardella.jpg
Dario Tamburrano,Italy,,Five Star Movement,https://www.europarl.europa.eu/meps/en/124813,124813.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721744119449%2020240723%20EP-171119A%20PB9%20240.jpg
Dariusz Joński,Poland,Group of the European People's Party (Christian Democrats),Polish Initiative,https://www.europarl.europa.eu/meps/en/257031,257031.0,http://commons.wikimedia.org/wiki/Special:FilePath/Dariusz%20Jo%C5%84ski%20Sejm%202015.JPG
David Casa,Malta,Group of the European People's Party (Christian Democrats),Nationalist Party,https://www.europarl.europa.eu/meps/en/28122,28122.0,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Casa%2C%20EPP%20Malta%20Congress%202017%20%3B%2029%20March.jpg
David Cormand,France,Group of the Greens/European Free Alliance,The Ecologists – Europe Écologie Les Verts,https://www.europarl.europa.eu/meps/en/197503,197503.0,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Cormand%202016%20Pantin%20%28cropped%29.jpg
David McAllister,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/124806,124806.0,http://commons.wikimedia.org/wiki/Special:FilePath/McAllister%2C%20David-9220.jpg
Davor Ivo Stier,Croatia,Group of the European People's Party (Christian Democrats),Croatian Democratic Union,https://www.europarl.europa.eu/meps/en/119435,119435.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719236866611%2020240611%20STIER%20Davor%20Ivo%20HR%2008.jpg
Delara Burkhardt,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Germany,https://www.europarl.europa.eu/meps/en/197440,197440.0,http://commons.wikimedia.org/wiki/Special:FilePath/Delara%20Burkhardt%20%2845679993742%29.jpg
Denis Nesci,Italy,European Conservatives and Reformists Group,,https://www.europarl.europa.eu/meps/en/239260,239260.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720519158205%2020240709%20NESCI%20Denis%20IT%20003.jpg
Dennis Radtke,Germany,Group of the European People's Party (Christian Democrats),Christian Democratic Union,https://www.europarl.europa.eu/meps/en/188945,188945.0,http://commons.wikimedia.org/wiki/Special:FilePath/Verleihung%20des%20Staatspreises%20des%20Landes%20Nordrhein-Westfalen%20an%20Angela%20Merkel-2027.jpg
Diana Riba Giner,Spain,,Republican Left of Catalonia,,,http://commons.wikimedia.org/wiki/Special:FilePath/Concentraci%C3%B3%20a%20la%20pres%C3%B3%20de%20Lledoners%20DC85293%20%2842578734314%29%20%28cropped%29.jpg
Diana Șoșoacă,Group of the European Conservatives and Reformists,S.O.S. Romania Party,S.O.S. Romania Party,https://www.europarl.europa.eu/meps/en/257120/DIANA_IOVANOVICI+SOSOACA/home,257120.0,http://commons.wikimedia.org/wiki/Special:FilePath/Diana%20%C8%98o%C8%99oac%C4%83%20%281%20July%202024%29%20%28cropped%29.jpg
Dick Erixon,Sweden,European Conservatives and Reformists Group,Sweden Democrats,https://www.europarl.europa.eu/meps/en/257091,257091.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281340994%2020240612%20ERIXON%20Dick%20Rikard%20SE%20001.jpg
Diego Solier,Spain,European Conservatives and Reformists Group,,https://www.europarl.europa.eu/meps/en/257021,257021.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720511557800%2020240709%20SOLIER%20FERNANDEZ%20Diego%20ES%20021.jpg
Dimitris Tsiodras,Greece,Group of the European People's Party (Christian Democrats),New Democracy,https://www.europarl.europa.eu/meps/en/256950,256950.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798598334%2020240618%20TSIODRAS%20Dimitrios%20EL%20007.jpg
Dirk Gotink,Kingdom of the Netherlands,Group of the European People's Party (Christian Democrats),Christian Democratic Appeal,https://www.europarl.europa.eu/meps/en/97399,97399.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718612110291%2020240614%20GOTINK%20Dirk%20NL%20005.jpg
Dolors Montserrat i Montserrat,Spain,,People's Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dolors%20Montserrat%202025%20%28cropped%29.jpg
Domenico Lucano,Italy,European Conservatives and Reformists Group,,independent politician,https://www.europarl.europa.eu/meps/en/257129/MIMMO_LUCANO/home,257129.0,http://commons.wikimedia.org/wiki/Special:FilePath/Domenico%20Lucano.jpg
Dominik Tarczyński,Poland,European Conservatives and Reformists Group,Poland Comes First,https://www.europarl.europa.eu/meps/en/204346,204346.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Dominik%20Tarczy%C5%84ski.jpg
Dragoș Benea,Romania,,Social Democratic Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1719323347652%2020240625%20BENEA%20Adrian%20Dragos%20RO%20005.jpg
Dóra Dávid,Hungary,Group of the European People's Party (Christian Democrats),Respect and Freedom Party,https://www.europarl.europa.eu/meps/en/256862,256862.0,http://commons.wikimedia.org/wiki/Special:FilePath/D%C3%B3ra%20D%C3%A1vid%20MEP%20%282024%29.jpg
Eero Heinäluoma,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Finland,https://www.europarl.europa.eu/meps/en/197800,197800.0,http://commons.wikimedia.org/wiki/Special:FilePath/Eero%20Hein%C3%A4luoma.jpg
Elena Donazzan,Italy,European Conservatives and Reformists Group,National Alliance,https://www.europarl.europa.eu/meps/en/257095,257095.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Elena%20Donazzan.jpg
Elena Kountoura,Greece,,SYRIZA,https://www.europarl.europa.eu/meps/en/197699,197699.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798648297%2020240618%20KOUNTOURA%20Elena%20EL%20007.jpg
Elena Nevado del Campo,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/257039,257039.0,http://commons.wikimedia.org/wiki/Special:FilePath/%28Elena%20Nevado%29%20Concentraci%C3%B3n%20en%20apoyo%20de%20un%20tren%20digo%20para%20Extremadura.%20%2844109437840%29%20%28cropped%29.jpg
Elena Sancho,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spanish Socialist Workers' Party,https://www.europarl.europa.eu/meps/en/257001,257001.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810568590%2020240619%20SANCHO%20MURILLO%20Elena%20ES%20006.jpg
Elena Yoncheva,Bulgaria,,Bulgarian Socialist Party,https://www.europarl.europa.eu/meps/en/197842,197842.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718810791746%2020240619%20YONCHEVA%20Elena%20BG%20003.jpg
Eleonora Meleti,Greece,Group of the European People's Party (Christian Democrats),New Democracy,https://www.europarl.europa.eu/meps/en/256943,256943.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718698439204%2020240617%20MELETI%20Eleonora%20EL%20003.jpg
Elio Di Rupo,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialist Party,https://www.europarl.europa.eu/meps/en/1294,1294.0,http://commons.wikimedia.org/wiki/Special:FilePath/Elio%20Di%20Rupo%20PES-Kongress%202014.jpg
Elisabeth Dieringer-Granza,Austria,,Austrian Freedom Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1719559916018%2020240627%20DIERINGER%20Elisabeth%20AT%20012.jpg
Elisabeth Grossmann,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Austria,https://www.europarl.europa.eu/meps/en/256830,256830.0,http://commons.wikimedia.org/wiki/Special:FilePath/Mag.%20Elisabeth%20Grossmann%20%2814523218353%29.jpg
Elisabetta Gualmini,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,https://www.europarl.europa.eu/meps/en/197618,197618.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Elisabetta%20Gualmini.jpg
Eliza Vozemberg,Greece,,New Democracy,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718698396446%2020190604%20VOZEMBERG%20Elissavet%20EL%206.jpg
Elsi Katainen,Finland,Renew Europe Group,Centre Party,https://www.europarl.europa.eu/meps/en/191693,191693.0,http://commons.wikimedia.org/wiki/Special:FilePath/Elsi%20Katainen%20in%202022.jpg
Elżbieta Łukacijewska,Poland,,Civic Platform,,,http://commons.wikimedia.org/wiki/Special:FilePath/ElzbietaLukacijewska.jpg
Emil Radev,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria,https://www.europarl.europa.eu/meps/en/124850,124850.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798497929%2020240618%20RADEV%20Emil%20BG%20004.jpg
Emma Fourreau,France,,La France insoumise,https://www.europarl.europa.eu/meps/en/256913,256913.0,http://commons.wikimedia.org/wiki/Special:FilePath/Emma%20Fourreau%2C%202024%20%28cropped%29.jpg
Emma Rafowicz,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialist Party,https://www.europarl.europa.eu/meps/en/256902,256902.0,http://commons.wikimedia.org/wiki/Special:FilePath/Emma%20Rafowicz%2020240723%20EP-171123A%20AH1%20247.jpg
Emma Wiesner,Sweden,Renew Europe Group,Centre Party,https://www.europarl.europa.eu/meps/en/214839,214839.0,http://commons.wikimedia.org/wiki/Special:FilePath/Emma%20Wiesner%2C%202019.jpg
Emmanouíl Fragkos,Greece,,Greek Solution,,,http://commons.wikimedia.org/wiki/Special:FilePath/Emmanouil%20Fragkos%20MEP%20%282019%29.jpg
Engin Eroğlu,Germany,,Free Voters,,,http://commons.wikimedia.org/wiki/Special:FilePath/Engin%20Eroglu%2C%20Landesvorsitzender%20FREIE%20W%C3%84HLER%20Hessen.jpg
Enikő Győri,Hungary,Patriots for Europe Group,Fidesz,https://www.europarl.europa.eu/meps/en/96830,96830.0,http://commons.wikimedia.org/wiki/Special:FilePath/Gy%C5%91ri%20Enik%C5%91.png
Erik Kaliňák,Slovakia,,Direction – Social Democracy,https://www.europarl.europa.eu/meps/en/257007,257007.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721060090020%2020240715%20KALINAK%20Erik%20SK%20005.jpg
Erik Marquardt,Germany,Group of the Greens/European Free Alliance,Alliance '90/The Greens,https://www.europarl.europa.eu/meps/en/197462,197462.0,http://commons.wikimedia.org/wiki/Special:FilePath/MKr345924%20Erik%20Marquardt%20%28BDK%202023%29.jpg
Ernő Schaller-Baross,Hungary,Patriots for Europe Group,Fidesz,https://www.europarl.europa.eu/meps/en/213330,213330.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719323409473%2020240625%20SCHALLER%20BAROSS%20Erno%20HU%20006.jpg
Esteban González Pons,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/125027,125027.0,http://commons.wikimedia.org/wiki/Special:FilePath/Esteban%20Gonz%C3%A1lez%20Pons%202011%20%28cropped%29.jpg
Estelle Ceulemans,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://www.europarl.europa.eu/meps/en/256880,256880.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718636510469%2020240612%20CEULEMANS%20Estelle%20BE%2007B.jpg
Estrella Galán,Spain,,Sumar,https://www.europarl.europa.eu/meps/en/257012,257012.0,http://commons.wikimedia.org/wiki/Special:FilePath/Estrella%20Gal%C3%A1n%2C%202024%20%28cropped%29.jpg
Eszter Lakos,Hungary,Group of the European People's Party (Christian Democrats),Respect and Freedom Party,https://www.europarl.europa.eu/meps/en/256865,256865.0,http://commons.wikimedia.org/wiki/Special:FilePath/Eszter%20Lakos%20MEP%20%282024%29.jpg
Eugen Tomac,Romania,Group of the European People's Party (Christian Democrats),European People's Party,https://www.europarl.europa.eu/meps/en/197672,197672.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718281648577%2020240612%20TOMAC%20Eugen%20RO%20009.jpg
Eva Maydell,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria,https://www.europarl.europa.eu/meps/en/98341,98341.0,http://commons.wikimedia.org/wiki/Special:FilePath/Eva%20Maydell%20-%20EPP%20Political%20Assembly%20-%202019%20%2848706380316%29%20%28cropped%29.jpg
Evelyn Regner,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Austria,https://www.europarl.europa.eu/meps/en/96998,96998.0,http://commons.wikimedia.org/wiki/Special:FilePath/05.06.2009%20EU-Wahlkampffinale%20%283598047873%29.jpg
Evin Incir,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Swedish Social Democratic Party,https://www.europarl.europa.eu/meps/en/197392,197392.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721223519960%2020240717%20INCIR%20Evin%20SE%20003.jpg
Ewa Kopacz,Poland,Group of the European People's Party (Christian Democrats),United People's Party,https://www.europarl.europa.eu/meps/en/197525,197525.0,http://commons.wikimedia.org/wiki/Special:FilePath/Ewa%20Kopacz%20-%20Konwencja%20PO%20%28cropped%29.jpg
Ewa Zajączkowska-Hernik,Poland,Europe of Sovereign Nations Group,Confederation,https://www.europarl.europa.eu/meps/en/257069,257069.0,http://commons.wikimedia.org/wiki/Special:FilePath/Ewa%20Zaj%C4%85czkowska-Hernik%20MEP%20%282024%29.jpg
Fabienne Keller,France,Renew Europe Group,Union for a Popular Movement,https://www.europarl.europa.eu/meps/en/22858,22858.0,http://commons.wikimedia.org/wiki/Special:FilePath/Fabienne%20Keller%20par%20Claude%20Truong-Ngoc%20avril%202013.jpg
Fabio De Masi,Germany,,Sahra Wagenknecht Alliance,https://www.europarl.europa.eu/meps/en/124858,124858.0,http://commons.wikimedia.org/wiki/Special:FilePath/Fabio%20De%20Masi.jpg
Fabrice Leggeri,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/256872,256872.0,http://commons.wikimedia.org/wiki/Special:FilePath/Fabrice%20Leggeri%202%20-%2027-11-2015.JPG
Fernand Kartheiser,Luxembourg,,Alternative Democratic Reform Party,https://www.europarl.europa.eu/meps/en/256900,256900.0,http://commons.wikimedia.org/wiki/Special:FilePath/Fernand%20Kartheiser%20%28chd.lu%29%20%28cropped%29.jpg
Fernando Navarrete Rojas,Spain,Group of the European People's Party (Christian Democrats),,https://www.europarl.europa.eu/meps/en/257027,257027.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798408331%2020240618%20NAVARRETE%20Fernando%20ES%20008.jpg
Fidias Panayiotou,Cyprus,,independent politician,https://www.europarl.europa.eu/meps/en/256989,256989.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Fidias%20Panayiotou.jpg
Filip Turek,Czech Republic,Patriots for Europe Group,,https://www.europarl.europa.eu/meps/en/256850,256850.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719998912664%2020240703%20TUREK%20Filip%20CZ%20006.jpg
Flavio Tosi,Italy,Group of the European People's Party (Christian Democrats),Act!,https://www.europarl.europa.eu/meps/en/124795,124795.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720689518169%2020240711%20TOSI%20Flavio%20IT%20013.jpg
France Jamet,France,Patriots for Europe Group,National Rally,https://www.europarl.europa.eu/meps/en/189065,189065.0,
Francesco Torselli,Italy,European Conservatives and Reformists Group,Brothers of Italy,https://www.europarl.europa.eu/meps/en/257163,257163.0,http://commons.wikimedia.org/wiki/Special:FilePath/1719328268244%2020240625%20TORSELLI%20Francesco%20IT%20005.jpg
Francesco Ventola,Italy,European Conservatives and Reformists Group,The People of Freedom,https://www.europarl.europa.eu/meps/en/257099,257099.0,http://commons.wikimedia.org/wiki/Special:FilePath/Ventola%20Francesco.jpg
Francisco Assis,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialist Party,https://www.europarl.europa.eu/meps/en/28307,28307.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721737199167%2020240723%20EP-171121A%20PB9%20069.jpg
Francisco José Millán Mon,Spain,Group of the European People's Party (Christian Democrats),People's Party,https://www.europarl.europa.eu/meps/en/28400,28400.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721739765131%2020240723%20EP-171124A%20AH1%20019.jpg
François Kalfon,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialist Party,https://www.europarl.europa.eu/meps/en/256908,256908.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718798728671%2020240618%20KALFON%20Francois%20FR%20006.jpg
François-Xavier Bellamy,France,Group of the European People's Party (Christian Democrats),The Republicans,https://www.europarl.europa.eu/meps/en/197534,197534.0,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois-Xavier%20Bellamy%20intervenant%20en%20Session%20Pl%C3%A9ni%C3%A8re%20%28crop%29.jpg
Fredis Beleris,Albania,Group of the European People's Party (Christian Democrats),Together We Win,https://www.europarl.europa.eu/meps/en/256947,256947.0,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Beleri%20%28cropped%29.jpg
Friedrich Pürner,Germany,,,https://www.europarl.europa.eu/meps/en/256969,256969.0,http://commons.wikimedia.org/wiki/Special:FilePath/1718797956184%2020240618%20PURNER%20Friedrich%20DE%20006.jpg
Fulvio Martusciello,Italy,Group of the European People's Party (Christian Democrats),Forza Italia,https://www.europarl.europa.eu/meps/en/124828,124828.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721744064588%2020240723%20EP-171119A%20PB9%20228.jpg
Gabriel Mato Adrover,Spain,,People's Party,,,http://commons.wikimedia.org/wiki/Special:FilePath/1718718492678%201649591737843%2020200203%20MATO%20Gabriel%20ES%20019.jpg
Gabriela Firea,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party,https://www.europarl.europa.eu/meps/en/257098,257098.0,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriela%20Firea%20MEP%20%282024%29.jpg
Gabriele Bischoff,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Social Democratic Party of Germany,https://www.europarl.europa.eu/meps/en/197435,197435.0,http://commons.wikimedia.org/wiki/Special:FilePath/1721744900546%2020240723%20EP-171134A%20J1%20471.jpg
Gabriella Gerzsenyi,Hungary,Group of the European People's Party (Christian Democrats),Respect and Freedom Party,https://www.europarl.europa.eu/meps/en/256866,256866.0,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriella%20Gerzsenyi%20MEP%20%282024%29.jpg
Gaetano Pedullà,Group of the European Conservatives and Reformists,,,https://www.europarl.europa.eu/meps/en/257126/GAETANO_PEDULLA%27/home,257126.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720176569619%2020240705%20PEDULLA%20Gaetano%20IT%20019.jpg
Galato Alexandraki,Greece,European Conservatives and Reformists Group,Greek Solution,https://www.europarl.europa.eu/meps/en/256956,256956.0,http://commons.wikimedia.org/wiki/Special:FilePath/Galato%20Alexandraki%20MEP%20%282024%29.jpg
Geadis Geadi,Cyprus,European Conservatives and Reformists Group,,https://www.europarl.europa.eu/meps/en/256986,256986.0,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20Geadis%20Geadi.jpg
Georg Mayer,Austria,Patriots for Europe Group,Austrian Freedom Party,https://www.europarl.europa.eu/meps/en/38511,38511.0,http://commons.wikimedia.org/wiki/Special:FilePath/Georg%20Mayer%20%282013%29%20%28cropped%29.JPG
Georgiana Teodorescu,Romania,European Conservatives and Reformists Group,,https://www.europarl.europa.eu/meps/en/257116,257116.0,http://commons.wikimedia.org/wiki/Special:FilePath/Maria-Georgiana%20Teodorescu%20MEP%20%282024%29.jpg
Gerald Hauser,Austria,Patriots for Europe Group,Austrian Freedom Party,https://www.europarl.europa.eu/meps/en/256842,256842.0,http://commons.wikimedia.org/wiki/Special:FilePath/1720439542209%2020240708%20HAUSER%20Gerald%20AT%20010.jpg
Gerben-Jan Gerbrandy,Kingdom of the Netherlands,Renew Europe Group,Democrats 66,https://www.europarl.europa.eu/meps/en/96940,96940.0,http://commons.wikimedia.org/wiki/Special:FilePath/Gerben-Jan%20Gerbrandy%20-%20Candidate%20for%20the%20European%20Parliament%20for%20D66.jpg
Gerolf Annemans,Belgium,Patriots for Europe Group,Flemish Interest,https://www.europarl.europa.eu/meps/en/124973,124973.0,http://commons.wikimedia.org/wiki/Special:FilePath/Gerolf-annemans-1398165754.jpg
